
2024/04/25 (15:48:44) | ===> btop++ v.1.3.2
2024/04/25 (15:49:07) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:49:08) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:49:09) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:49:10) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:49:11) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:49:12) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:49:13) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:49:14) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:49:15) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:49:16) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:49:17) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:49:18) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:49:19) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:49:20) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:49:21) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:49:22) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:49:23) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:49:24) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:49:25) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:49:26) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:49:27) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:49:28) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:49:29) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:49:30) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:49:31) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:49:32) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:49:33) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:49:34) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:49:35) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:49:36) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:49:37) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:49:38) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:49:39) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:49:40) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:49:41) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:49:42) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:49:43) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:49:44) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:49:45) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:49:46) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:49:47) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:49:48) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:49:49) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:49:50) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:49:51) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:49:52) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:49:53) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:49:54) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:49:55) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:49:56) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:49:57) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:49:58) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:49:59) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:50:00) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:50:01) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:50:02) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:50:03) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:50:04) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:50:05) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:50:06) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:50:07) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:50:08) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:50:09) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:50:10) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:50:11) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:50:12) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:50:13) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:50:14) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:50:15) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:50:16) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:50:17) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:50:18) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:50:19) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:50:20) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:50:21) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:50:22) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:50:23) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:50:24) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:50:25) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:50:26) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:50:27) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:50:28) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:50:29) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:50:30) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:50:31) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:50:32) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:50:33) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:50:34) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:50:35) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:50:36) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:50:37) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:50:38) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:50:39) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:50:40) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:50:41) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:50:42) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:50:43) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:50:44) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:50:45) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:50:46) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:50:47) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:50:48) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:50:49) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:50:50) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:50:51) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:50:52) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:50:53) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:50:54) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:50:55) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:50:56) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:50:57) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:50:58) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:50:59) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:51:00) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:51:01) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:51:02) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:51:03) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:51:04) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:51:05) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:51:06) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:51:07) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:51:08) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:51:09) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:51:10) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:51:11) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:51:12) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:51:13) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:51:14) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:51:15) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:51:16) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:51:17) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:51:18) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:51:19) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:51:20) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:51:21) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:51:22) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:51:23) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:51:24) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:51:25) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:51:26) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:51:27) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:51:28) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:51:29) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:51:30) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:51:31) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:51:32) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:51:33) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:51:34) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:51:35) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:51:36) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:51:37) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:51:38) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:51:39) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:51:40) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:51:41) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:51:42) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:51:43) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:51:44) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:51:45) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:51:46) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:51:47) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:51:48) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:51:49) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:51:50) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:51:51) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:51:52) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:51:53) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:51:54) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:51:55) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:51:56) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:51:57) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:51:58) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:51:59) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:52:00) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:52:01) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:52:02) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:52:03) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:52:04) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:52:05) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:52:06) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:52:07) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:52:08) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:52:09) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:52:10) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:52:11) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:52:12) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:52:13) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:52:14) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:52:15) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:52:16) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:52:17) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:52:18) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:52:19) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:52:20) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:52:21) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:52:22) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:52:23) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:52:24) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:52:25) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:52:26) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:52:27) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:52:28) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:52:29) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:52:30) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:52:31) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:52:32) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:52:33) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
